NO,Area,Nama Site,ID Pelanggan,Site Type,Jumlah Phase,Koordinat,Daya Actual (W),Area Space(m2)
1,BALI NUSRA,18BIM0016_DOROTONGGOTUA_EP,18BIM0016,Indoor,3,"lat= -8.56728470
lng= 118.87508902",3185,12
2,BALI NUSRA,18BIM0034_NTONGGU_MT,18BIM0034,Outdoor,3,"lat= -8.53184197
lng= 118.75919073",1062,3
3,BALI NUSRA,18BIM0037_KALAMPA,18BIM0037,Outdoor,3,"lat= -8.58063744
lng= 118.67891085",1300,3
4,BALI NUSRA,18BIM0045_TANGGA_ST,18BIM0045,Outdoor,3,"lat= -8.66049319
lng= 118.69206941",1300,3
5,BALI NUSRA,18BMA0003_RABA_EP,18BMA0003,Indoor,3,"lat= -8.45784510
lng= 118.73067826",1380,12
6,BALI NUSRA,18BMA0003_RABA_KOTA_EP,18BMA0009,Indoor,3,"lat= -8.47390304
lng= 118.76333912",2010,12
7,BALI NUSRA,18BMA0010_OIFOOSOSOI,18BMA0010,Outdoor,3,"lat= -8.49483814
lng= 118.76067998",1200,3
8,BALI NUSRA,18BMA0011_OIFOOSOSOII,18BMA0011,Outdoor,3,"lat= -8.50721537
lng= 118.76374759",1400,3
9,BALI NUSRA,18BMA0015_DARA_PS,18BMA0015,Outdoor,3,"lat= -8.45599382
lng= 118.72204878",1700,3
10,BALI NUSRA,18DPU0014_BALIB_PL,18DPU0014,Outdoor,3,"lat= -8.53361861
lng= 118.45994534",1500,3
11,BALI NUSRA,18DPU0016_DOROMELO_PL,18DPU0016,Outdoor,3,"lat= -8.51833110
lng= 118.31824495",2300,3
12,BALI NUSRA,18DPU0019_KEMPO_MT,18DPU0019,Outdoor,3,"lat= -8.53934934
lng= 118.25171122",1800,3
13,BALI NUSRA,18DPU0031_NANGATUMPU_ST,18DPU0031,Outdoor,3,"lat= -8.63655136
lng= 118.28981185",3300,3
14,BALI NUSRA,18DPU0037_BARA_PS,18DPU0037,Outdoor,3,"lat= -8.55088435
lng= 118.38170147",1900,3
15,BALI NUSRA,18MAT0021_LANGKO_MT,18MAT0021,Outdoor,3,"lat= -8.57810418
lng= 116.08755662",2700,3
16,BALI NUSRA,18MAT0026_BTNAMPENAN_PL,18MAT0026,Outdoor,3,"lat= -8.56721860
lng= 116.09078179",1060,3
17,BALI NUSRA,18MAT0031_GOMONG_EP,18MAT0031,Indoor,3,"lat= -8.59138609
lng= 116.09724313",2654,9
18,BALI NUSRA,18MAT0035_PTI_UDAYANA_PL,18MAT0035,Outdoor,3,"lat= -8.56359578
lng= 116.09762409",1552,3
19,BALI NUSRA,18MAT0039_MI_PAGESANGAN_TIMUR1_TB,18MAT0039,Outdoor,3,"lat= -8.58037230
lng= 116.10195762",343,3
20,BALI NUSRA,18MAT0040_PTI_DASANAGUNG_PL,18MAT0040,Outdoor,3,"lat= -8.57530934
lng= 116.10213606",2247,3
21,BALI NUSRA,18MAT0043_PELITA_MAT2_PL,18MAT0043,Outdoor,3,"lat= -8.58409303
lng= 116.10463118",2451,3
22,BALI NUSRA,18MAT0054_PAGUTANBARAT_PL,18MAT0054,Outdoor,3,"lat= -8.61804847
lng= 116.11318856",1900,3
23,BALI NUSRA,18MAT0055_AMIRHAMZAH_MATARAM_CM,18MAT0055,Outdoor,3,"lat= -8.58752886
lng= 116.11368082",1068,3
24,BALI NUSRA,18MAT0057_KIN_KURA_KURA_PL,18MAT0057,Indoor,3,"lat= -8.59514586
lng= 116.11568908",2048,12
25,BALI NUSRA,18MAT0068_DASANCERMEN_PL,18MAT0068,Outdoor,3,,1922,3
26,BALI NUSRA,18MAT0085_BABAKAN_TIMUR_MATARAM_PL,18MAT0085,Outdoor,3,"lat= -8.60509878
lng= 116.14860682",4563,3
27,BALI NUSRA,18MTR0019_LEMBAR_MTR1_PS,18MTR0019,Outdoor,3,"lat= -8.70327253
lng= 116.09551752",2398,3
28,BALI NUSRA,18MTR0023_PARAMPUANPST_PS,18MTR0023,Outdoor,3,"lat= -8.58705054
lng= 116.07841526",3956,3
29,BALI NUSRA,18MTR0030_LINGKARSELATAN_TB,18MTR0030,Outdoor,3,"lat= -8.61986867
lng= 116.10846353",2244,3
30,BALI NUSRA,18MTR0037_GERUNG_MT,18MTR0037,Indoor,3,"lat= -8.68155350
lng= 116.12158572",3175,"12,6"
31,BALI NUSRA,18MTR0049_DEPNAKERTRANLOMBAR_PS,18MTR0049,Outdoor,3,"lat= -8.65598972
lng= 116.14012595",2517,3
32,BALI NUSRA,18MTR0052_PENIMBUNGUTR_TB,18MTR0052,Outdoor,3,"lat= -8.54125598
lng= 116.14478669",1372,3
33,BALI NUSRA,18MTR0057_KEDIRILOMBOK_MT,18MTR0057,Indoor,3,"lat= -8.63355679
lng= 116.15289227",2700,14
34,BALI NUSRA,18MTR0075_PTI_TANAKBEAQ_PL,18MTR0075,Outdoor,3,,1922,3
35,BALI NUSRA,18MTR0084_PELANGANI_TB,18MTR0084,Outdoor,3,"lat= -8.81078332
lng= 115.94027347",1248,3
36,BALI NUSRA,18PYA0004_BILEBANTE_PS,18PYA0004,Outdoor,3,"lat= -8.60190382
lng= 116.11115077",2019,3
37,BALI NUSRA,18PYA0004_BILEBANTE_PS,18PYA0004,Outdoor,3,"lat= -8.60190382
lng= 116.11115077",2019,3
38,BALI NUSRA,18PYA0005_UNGGA_PL,18PYA0004,Outdoor,3,"lat= -8.74126676
lng= 116.24283316",1404,3
39,BALI NUSRA,18PYA0018_PENUNJAK_LOMTENG_CM,18PYA0018,Outdoor,3,"lat= -8.79679813
lng= 116.22544581",933,3
40,BALI NUSRA,18PYA0025_PENUNJAK_EP,18PYA0025,Indoor,3,"lat= -8.74226663
lng= 116.24190801",2400,18
41,BALI NUSRA,18PYA0036_PENGENJEK_PAGUTAN_ROAD_PS,18PYA0036,Outdoor,1,"lat= -8.63700425
lng= 116.26099355",812,3
42,BALI NUSRA,18PYA0044_MI_PRAPEN_PRAYA_TB,18PYA0044,Outdoor,3,"lat= -8.71387946
lng= 116.26877045",870,3
43,BALI NUSRA,18PYA0045_PRAYA_PYA2_PL,18PYA0045,Indoor,3,"lat= -8.70884848
lng= 116.26895185",2664,"12,5"
44,BALI NUSRA,18PYA0052_KUTA_PYA_EP,18PYA0052,Indoor,3,"lat= -8.88995712
lng= 116.27821632",3143,6
45,BALI NUSRA,18PYA0093_SDNMONYEL_ST,18PYA0093,Outdoor,3,"lat= -8.81211095
lng= 116.33220106",2024,3
46,BALI NUSRA,18PYA0103_MUJUR_EP,18PYA0103,Indoor,3,"lat= -8.75904330
lng= 116.34987901",2383,"12,5"
47,BALI NUSRA,18PYA0170_KABULPRAYASHORTFALLB_GT,18PYA0170,Outdoor,3,"lat= -8.77820802
lng= 116.18452380",3636,3
48,BALI NUSRA,18SBB0014_BUKITDAMAI_PL,18SBB0014,Outdoor,3,"lat= -8.90916008
lng= 116.75044191",3567,3
49,BALI NUSRA,18SEL0169_MAMBEN_LAUK_PS,18SEL0169,Outdoor,3,"lat= -8.58332513
lng= 116.57304788",1211,3
50,BALI NUSRA,18TNG0029_AKARAKAR_LOMBOK_PL,18TNG0029,Outdoor,3,"lat= -8.22355771
lng= 116.34595721",1124,3
51,BALI NUSRA,18TNG0032_MAGLING_TB,18TNG0032,Outdoor,1,"lat= -8.26702154
lng= 116.42404780",425,3
52,BALI NUSRA,17APR0007_MENANGA_TUNJUNG_MUDING_MT,17Apr2007,Outdoor,3,"lat= -8.40576174
lng= 115.42099991",1955,3
53,BALI NUSRA,17APR0075_KECANGBALUNG_PL,17Apr1975,Outdoor,3,"lat= -8.41761171
lng= 115.67463637",5549,3
54,BALI NUSRA,17BLI0047_PENINJOAN_BLI_ST,17BLI0047,Outdoor,1,"lat= -8.40914161
lng= 115.41056250",458,3
55,BALI NUSRA,17DPR0023_PANDAANASRI_PL,17DPR0023,Outdoor,3,"lat= -8.62720023
lng= 115.14319871",1167,3
56,BALI NUSRA,17DPR0048_HANANTARA_EP,17DPR0048,Outdoor,3,"lat= -8.69215407
lng= 115.15919381",2216,3
57,BALI NUSRA,17DPR0044_RETOWER_TIBUBENENG_CM,17DPR0044,Outdoor,3,"lat= -8.66622277
lng= 115.15847312",2870,3
58,BALI NUSRA,17DPR0049_JLBERINGIN_DPR_IF,17DPR0049,Outdoor,3,"lat= -8.62506806
lng= 115.15837120",450,3
59,BALI NUSRA,17DPR0050_KIN_PEGENDING_PL,17DPR0050,Outdoor,3,"lat= -8.66005928
lng= 115.16044770",3247,3
60,BALI NUSRA,17DPR0059_IN_MAC_HOLIDAYINN_MC,17DPR0069,Outdoor,3,"lat= -8.73718280
lng= 115.163483889",832,3
